Dataset,Generator Type,Discriminator Type,Activations,Optimizers,Learning Rate,accuracy
MMI,VAE,GoogleNet,ReLU,RMSProp,"1e-05
","0.55
"
MMI,VAE,GoogleNet,ReLU,RMSProp,"0.0001
","0.675
"
MMI,VAE,GoogleNet,ReLU,Adam,"1e-05
","0.55
"
MMI,VAE,GoogleNet,ReLU,Adam,"0.0001
","0.6125
"
MMI,StyleGAN,ResNet 50,LeakyReLU,SGDM,0.0001,"0.7375
"
MMI,StyleGAN,ResNet 50,LeakyReLU,RMSProp,0.0001,"0.65
"
MMI,StyleGAN,ResNet 50,LeakyReLU,Adam,0.0001,"0.725
"
MMI,StyleGAN,ResNet 50,ClippedReLU,SGDM,0.0001,"0.55
"
MMI,StyleGAN,ResNet 50,ClippedReLU,RMSProp,0.0001,"0.65
"
MMI,StyleGAN,ResNet 50,ClippedReLU,Adam,0.0001,"0.675
"
MMI,StyleGAN,ResNet 50,ReLU,SGDM,0.0001,"0.6125
"
MMI,StyleGAN,ResNet 50,ReLU,RMSProp,0.0001,"0.7
"
MMI,StyleGAN,ResNet 50,ReLU,Adam,0.0001,"0.6
"
MMI,StyleGAN,AlexNet,LeakyReLU,SGDM,0.0001,"0.6875
"
MMI,StyleGAN,AlexNet,LeakyReLU,RMSProp,0.0001,"0.6
"
MMI,StyleGAN,AlexNet,LeakyReLU,Adam,0.0001,"0.6625
"
MMI,StyleGAN,AlexNet,ClippedReLU,SGDM,0.0001,"0.6875
"
MMI,StyleGAN,AlexNet,ClippedReLU,RMSProp,0.0001,"0.65
"
MMI,StyleGAN,AlexNet,ClippedReLU,Adam,0.0001,"0.625
"
MMI,StyleGAN,AlexNet,ReLU,SGDM,0.0001,"0.675
"
MMI,StyleGAN,AlexNet,ReLU,RMSProp,0.0001,"0.5875
"
MMI,StyleGAN,AlexNet,ReLU,Adam,0.0001,"0.6625
"
MMI,StyleGAN,VGG 16,LeakyReLU,SGDM,0.0001,"0.7125
"
MMI,StyleGAN,VGG 16,LeakyReLU,RMSProp,0.0001,"0.7125
"
MMI,StyleGAN,VGG 16,LeakyReLU,Adam,0.0001,"0.725
"
MMI,StyleGAN,VGG 16,ClippedReLU,SGDM,0.0001,"0.7625
"
MMI,StyleGAN,VGG 16,ClippedReLU,RMSProp,0.0001,"0.6875
"
MMI,StyleGAN,VGG 16,ClippedReLU,Adam,0.0001,"0.725
"
MMI,StyleGAN,VGG 16,ReLU,SGDM,0.0001,"0.725
"
MMI,StyleGAN,VGG 16,ReLU,RMSProp,0.0001,"0.6125
"
MMI,StyleGAN,VGG 16,ReLU,Adam,0.0001,"0.6875
"
MMI,StyleGAN,Original,LeakyReLU,SGDM,0.0001,"0.775
"
MMI,StyleGAN,Original,LeakyReLU,RMSProp,0.0001,"0.7125
"
MMI,StyleGAN,Original,LeakyReLU,Adam,0.0001,"0.7375
"
MMI,StyleGAN,Original,ClippedReLU,SGDM,0.0001,"0.7
"
MMI,StyleGAN,Original,ClippedReLU,RMSProp,0.0001,"0.625
"
MMI,StyleGAN,Original,ClippedReLU,Adam,0.0001,"0.6375
"
MMI,StyleGAN,Original,ReLU,SGDM,0.0001,"0.725
"
MMI,StyleGAN,Original,ReLU,RMSProp,0.0001,"0.7125
"
MMI,StyleGAN,Original,ReLU,Adam,0.0001,"0.6875
"
MMI,StyleGAN,GoogleNet,LeakyReLU,SGDM,0.0001,"0.7125
"
MMI,StyleGAN,GoogleNet,LeakyReLU,RMSProp,0.0001,"0.5375
"
MMI,StyleGAN,GoogleNet,LeakyReLU,Adam,0.0001,"0.675
"
MMI,StyleGAN,GoogleNet,ClippedReLU,SGDM,0.0001,"0.6375
"
MMI,StyleGAN,GoogleNet,ClippedReLU,RMSProp,0.0001,"0.65
"
MMI,StyleGAN,GoogleNet,ClippedReLU,Adam,0.0001,"0.5875
"
MMI,StyleGAN,GoogleNet,ReLU,SGDM,0.0001,"0.675
"
MMI,StyleGAN,GoogleNet,ReLU,RMSProp,0.0001,"0.6125
"
MMI,StyleGAN,GoogleNet,ReLU,Adam,0.0001,"0.6125
"
